time_s,node,x,y,z,error_m
0.1,118,270.000871854,-207.844942603,0,2.23579156389e-10
0.1,119,300.000798965,-207.844860572,0,7.29795130885e-10
0.1,120,330.000810972,-207.8446764,0,5.23796810368e-10
11.91578809,121,-14.9996340291,-85.5385065028,30,1.87018663752e-09
19.581576179,121,0.000848867232103,-208.03846246,30,4.84747370231e-10
21.081576175,121,0.000721539732139,-178.03846245,30,1.26919376048e-08
22.581576173,121,0.000594211232106,-148.038463819,30,2.21530311824e-09
24.081576171,121,0.00046688223212,-118.038466608,30,6.93655606403e-09
25.581576169,121,0.000381996232157,-88.0384708088,30,2.14646198086e-08
27.081576168,121,0.000254664732228,-58.0384764031,30,2.52939221498e-08
28.581576168,121,0.00012733273217,-28.0384278664,30,1.43560347369e-08
30.081576168,121,-7.67871137207e-10,1.9616192603,30,6.90630070831e-09
31.581576168,121,-0.00012733476788,31.961609456,30,3.78010166805e-09
33.091921484,121,14.9998037828,49.4616380497,30,8.92950401054e-09
34.6022668,121,29.9998447203,36.9616772696,30,8.99129010522e-09
36.1022668,121,29.9999794612,6.96168731094,30,4.78484355122e-10
37.6022668,121,30.0001141907,-23.0383040608,30,6.81090167697e-09
39.102266799,121,30.0002489177,-53.0382968055,30,1.94686673624e-08
40.602266798,121,30.0003411977,-83.0382909803,30,2.01476579731e-08
42.102266797,121,30.0004334752,-113.038286568,30,1.222648518e-08
43.602266795,121,30.0005681942,-143.038283552,30,1.30562671726e-08
45.102266793,121,30.0007029102,-173.038281949,30,3.71743372375e-09
46.602266789,121,30.0008376242,-203.038281718,30,2.26811564874e-08
48.112612103,121,45.0009130444,-220.538214734,30,8.93192851581e-09
49.622957416,121,60.0008288404,-208.038147129,30,7.28956794702e-09
51.122957413,121,60.0006867437,-178.038147093,30,1.78048751736e-08
52.62295741,121,60.0005870837,-148.038148477,30,1.26545498017e-08
54.122957408,121,60.0004874197,-118.038151256,30,1.46944567401e-08
55.622957406,121,60.0003877517,-88.038155451,30,4.37918636672e-09
57.122957405,121,60.0002456352,-58.0381610393,30,4.57466954791e-09
58.622957404,121,60.0001035147,-28.0381680377,30,7.36796802798e-10
60.122957404,121,60.0000038347,1.96182357112,30,7.85809712675e-09
61.622957404,121,59.9999041507,31.96181377,30,1.2549028549e-08
63.13330272,121,74.9998054247,49.4618889917,30,1.44900637762e-08
64.643648036,121,89.9998313071,36.9619748367,30,1.43077310161e-08
66.143648036,121,89.9999808341,6.96192935108,30,1.18127674143e-08
67.643648035,121,90.0000879106,-23.0381175277,30,2.2476479796e-08
69.143648034,121,90.0001949821,-53.0381102985,30,2.53807829606e-08
70.643648033,121,90.0003444921,-83.0381044791,30,2.39100590103e-08
72.143648032,121,90.0004515521,-113.038100073,30,1.28611759285e-08
73.64364803,121,90.0005586061,-143.038097063,30,9.67209575439e-09
75.143648027,121,90.0007080981,-173.038095448,30,1.41764899569e-08
76.643648023,121,90.0008151406,-203.03809523,30,2.4390763294e-08
78.153993336,121,105.00087796,-220.538037138,30,1.81314042662e-08
79.664338649,121,120.000851269,-208.037978436,30,1.01267249095e-08
81.164338646,121,120.000736842,-178.037978394,30,2.35693232338e-08
82.664338642,121,120.000622407,-148.037979792,30,3.17239553049e-09
84.16433864,121,120.000507965,-118.037982565,30,6.15882424454e-09
85.664338638,121,120.000393515,-88.037986751,30,2.39710931331e-09
87.164338637,121,120.000236614,-58.0379923275,30,8.50325457406e-09
88.664338636,121,120.000079705,-28.0379993139,30,1.10262437701e-08
90.164338636,121,119.999965234,1.96204782488,30,2.46233339714e-08
91.664338635,121,119.999850755,31.9620935337,30,1.42064596983e-08
93.17468395,121,134.999807051,49.462104344,30,2.11788505295e-08
94.685029266,121,149.999860332,36.9621257657,30,1.19938720137e-08
96.185029265,121,149.999982216,6.96213582601,30,3.87415352395e-08
97.685029265,121,150.000104085,-23.0378555607,30,2.47801104276e-08
99.185029263,121,150.000225945,-53.0378483204,30,4.34594878334e-08
100.685029262,121,150.000347796,-83.0378425132,30,3.43066670411e-08
102.18502926,121,150.000469638,-113.037838099,30,3.66111998474e-08
103.685029258,121,150.000591471,-143.037835098,30,2.92322148453e-08
105.185029255,121,150.000713295,-173.037833489,30,3.17032706826e-08
106.685029251,121,150.000835109,-203.03783328,30,3.79840673807e-08
108.411310457,121,165.000820727,-205.537783723,30,2.95304392087e-08
110.137591663,121,180.000702059,-178.037734253,30,2.03478065461e-08
111.63759166,121,180.000572849,-148.037735615,30,2.6493041775e-08
113.137591657,121,180.000443629,-118.03773839,30,2.22364516321e-08
114.637591655,121,180.000356842,-88.0377425613,30,2.69804060011e-08
116.137591653,121,180.000270044,-58.0377481455,30,2.34884220898e-08
117.637591652,121,180.000140791,-28.0377551427,30,1.04980346686e-08
119.137591651,121,180.000011529,1.96229198798,30,9.02808642907e-09
120.63759165,121,179.999882256,31.9623377117,30,7.34033752522e-09
122.147936965,121,194.999808718,49.4623951606,30,1.91385630076e-08
123.658282279,121,209.999846934,36.9624077018,30,2.90974440982e-08
125.158282278,121,209.999983606,6.96236220315,30,2.52493753014e-08
126.658282277,121,210.000120268,-23.0376291815,30,2.0699322475e-08
128.158282275,121,210.000214473,-53.0376219564,30,2.97952204433e-08
129.658282273,121,210.000308665,-83.0376161412,30,3.40369303268e-08
131.158282271,121,210.00044529,-113.037611742,30,2.8755897851e-08
132.658282268,121,210.000581902,-143.037608736,30,3.37940999847e-08
