node,seq,time_s,rssi_dbm,uav_x,uav_y,uav_z
46,152,309.751554102,-80.154233891,270.000263212,-57.9221546145,30
58,153,311.951554112,-81.2566604946,270.000343129,-79.9221505385,30
59,153,311.968220779,-81.2602047028,270.000343735,-80.0888171805,30
70,154,314.1515541,-79.9546558413,270.000423039,-101.922146901,30
70,155,316.151554117,-81.7284962431,270.000495676,-121.922144651,30
82,155,316.351554114,-81.4209614889,270.00050294,-123.922144379,30
83,155,316.368220781,-81.4110017968,270.000503545,-124.088811029,30
94,156,318.551554105,-80.5432222835,270.00058283,-145.922142468,30
94,157,320.551554106,-80.5487768491,270.000655452,-165.922141371,30
106,158,322.751554114,-81.4238371969,270.000735329,-187.922140866,30
107,158,322.768220781,-81.434147748,270.000735934,-188.088807534,30
118,158,322.951554117,-81.7203364625,270.00074259,-189.922140932,30
118,159,324.9515541,-79.9559081549,270.000815195,-209.922141174,30
118,160,326.951554105,-80.4863306404,279.131014003,-210.42879935,30
107,161,328.768220785,-81.865100557,293.087011791,-198.798752854,30
119,161,328.968220774,-80.7503969716,294.623451819,-197.518380843,30
107,162,330.768220779,-81.2367365498,300.000738597,-182.036987197,30
108,162,330.784887445,-81.2365536569,300.000737715,-181.87032054,30
95,163,332.568220771,-80.3476024334,300.000643346,-164.036987608,30
95,164,334.568220775,-80.7758329422,300.000591264,-144.036988833,30
83,165,336.36822078,-81.3133219219,300.000527124,-126.036990294,30
84,165,336.384887446,-81.3200553653,300.000526241,-125.870323653,30
71,166,338.168220768,-80.0383585445,300.000431852,-108.036992445,30
59,167,339.968220786,-81.9550871961,300.000373358,-90.0369949065,30
60,167,339.984887452,-81.9365696797,300.000372947,-89.8703282732,30
71,167,340.16822078,-81.3748407813,300.00036843,-88.0369952861,30
59,168,341.968220782,-81.5522550306,300.00031559,-70.0369982842,30
60,168,341.984887448,-81.5653502348,300.000314707,-69.8703316587,30
47,169,343.768220767,-79.928325716,300.000220298,-52.0370021605,30
35,170,345.568220782,-81.5666947203,300.000150467,-34.0370061596,30
36,170,345.584887448,-81.5535666226,300.000150057,-33.870339542,30
23,171,347.36822078,-81.4045817695,300.000106097,-16.0370107517,30
35,171,347.568220786,-81.9347035073,300.000101167,-14.0370111997,30
