node,seq,time_s
119,6,18.966666667
120,6,18.983333333
1,7,19
2,7,19.016666667
3,7,19.033333333
4,7,19.05
5,7,19.066666667
6,7,19.083333333
7,7,19.1
8,7,19.116666667
9,7,19.133333333
10,7,19.15
11,7,19.166666667
12,7,19.183333333
13,7,19.2
14,7,19.216666667
15,7,19.233333333
16,7,19.25
17,7,19.266666667
18,7,19.283333333
19,7,19.3
20,7,19.316666667
21,7,19.333333333
22,7,19.35
23,7,19.366666667
24,7,19.383333333
25,7,19.4
26,7,19.416666667
27,7,19.433333333
28,7,19.45
29,7,19.466666667
30,7,19.483333333
31,7,19.5
32,7,19.516666667
33,7,19.533333333
34,7,19.55
35,7,19.566666667
36,7,19.583333333
37,7,19.6
38,7,19.616666667
39,7,19.633333333
40,7,19.65
41,7,19.666666667
42,7,19.683333333
43,7,19.7
44,7,19.716666667
45,7,19.733333333
46,7,19.75
47,7,19.766666667
48,7,19.783333333
49,7,19.8
50,7,19.816666667
51,7,19.833333333
52,7,19.85
53,7,19.866666667
54,7,19.883333333
55,7,19.9
56,7,19.916666667
57,7,19.933333333
58,7,19.95
59,7,19.966666667
60,7,19.983333333
61,7,20
62,7,20.016666667
63,7,20.033333333
64,7,20.05
65,7,20.066666667
66,7,20.083333333
67,7,20.1
68,7,20.116666667
69,7,20.133333333
70,7,20.15
71,7,20.166666667
72,7,20.183333333
73,7,20.2
74,7,20.216666667
75,7,20.233333333
76,7,20.25
77,7,20.266666667
78,7,20.283333333
79,7,20.3
80,7,20.316666667
81,7,20.333333333
82,7,20.35
83,7,20.366666667
84,7,20.383333333
85,7,20.4
86,7,20.416666667
87,7,20.433333333
88,7,20.45
89,7,20.466666667
90,7,20.483333333
91,7,20.5
92,7,20.516666667
93,7,20.533333333
94,7,20.55
95,7,20.566666667
96,7,20.583333333
97,7,20.6
98,7,20.616666667
99,7,20.633333333
100,7,20.65
101,7,20.666666667
102,7,20.683333333
103,7,20.7
104,7,20.716666667
105,7,20.733333333
106,7,20.75
107,7,20.766666667
108,7,20.783333333
109,7,20.8
110,7,20.816666667
111,7,20.833333333
112,7,20.85
113,7,20.866666667
114,7,20.883333333
115,7,20.9
116,7,20.916666667
117,7,20.933333333
118,7,20.95
119,7,20.966666667
120,7,20.983333333
1,8,21
2,8,21.016666667
3,8,21.033333333
4,8,21.05
5,8,21.066666667
6,8,21.083333333
7,8,21.1
8,8,21.116666667
9,8,21.133333333
10,8,21.15
11,8,21.166666667
12,8,21.183333333
13,8,21.2
14,8,21.216666667
15,8,21.233333333
16,8,21.25
17,8,21.266666667
18,8,21.283333333
19,8,21.3
20,8,21.316666667
21,8,21.333333333
22,8,21.35
23,8,21.366666667
24,8,21.383333333
25,8,21.4
26,8,21.416666667
27,8,21.433333333
28,8,21.45
29,8,21.466666667
30,8,21.483333333
31,8,21.5
32,8,21.516666667
33,8,21.533333333
34,8,21.55
35,8,21.566666667
36,8,21.583333333
37,8,21.6
38,8,21.616666667
39,8,21.633333333
40,8,21.65
41,8,21.666666667
42,8,21.683333333
43,8,21.7
44,8,21.716666667
45,8,21.733333333
46,8,21.75
47,8,21.766666667
48,8,21.783333333
49,8,21.8
50,8,21.816666667
51,8,21.833333333
52,8,21.85
53,8,21.866666667
54,8,21.883333333
55,8,21.9
56,8,21.916666667
57,8,21.933333333
58,8,21.95
59,8,21.966666667
60,8,21.983333333
61,8,22
62,8,22.016666667
63,8,22.033333333
64,8,22.05
65,8,22.066666667
66,8,22.083333333
67,8,22.1
68,8,22.116666667
69,8,22.133333333
70,8,22.15
71,8,22.166666667
72,8,22.183333333
73,8,22.2
74,8,22.216666667
75,8,22.233333333
76,8,22.25
77,8,22.266666667
78,8,22.283333333
79,8,22.3
80,8,22.316666667
81,8,22.333333333
82,8,22.35
83,8,22.366666667
84,8,22.383333333
85,8,22.4
86,8,22.416666667
87,8,22.433333333
88,8,22.45
89,8,22.466666667
90,8,22.483333333
91,8,22.5
92,8,22.516666667
93,8,22.533333333
94,8,22.55
95,8,22.566666667
96,8,22.583333333
97,8,22.6
98,8,22.616666667
99,8,22.633333333
100,8,22.65
101,8,22.666666667
102,8,22.683333333
103,8,22.7
104,8,22.716666667
105,8,22.733333333
106,8,22.75
107,8,22.766666667
108,8,22.783333333
109,8,22.8
110,8,22.816666667
111,8,22.833333333
112,8,22.85
113,8,22.866666667
114,8,22.883333333
115,8,22.9
116,8,22.916666667
117,8,22.933333333
118,8,22.95
119,8,22.966666667
120,8,22.983333333
1,9,23
2,9,23.016666667
3,9,23.033333333
4,9,23.05
5,9,23.066666667
6,9,23.083333333
7,9,23.1
8,9,23.116666667
9,9,23.133333333
10,9,23.15
11,9,23.166666667
12,9,23.183333333
13,9,23.2
14,9,23.216666667
15,9,23.233333333
16,9,23.25
17,9,23.266666667
18,9,23.283333333
19,9,23.3
20,9,23.316666667
21,9,23.333333333
22,9,23.35
23,9,23.366666667
24,9,23.383333333
25,9,23.4
26,9,23.416666667
27,9,23.433333333
28,9,23.45
29,9,23.466666667
30,9,23.483333333
31,9,23.5
32,9,23.516666667
33,9,23.533333333
34,9,23.55
35,9,23.566666667
36,9,23.583333333
37,9,23.6
38,9,23.616666667
39,9,23.633333333
40,9,23.65
41,9,23.666666667
42,9,23.683333333
43,9,23.7
44,9,23.716666667
45,9,23.733333333
46,9,23.75
47,9,23.766666667
48,9,23.783333333
49,9,23.8
50,9,23.816666667
51,9,23.833333333
52,9,23.85
53,9,23.866666667
54,9,23.883333333
55,9,23.9
56,9,23.916666667
57,9,23.933333333
58,9,23.95
59,9,23.966666667
60,9,23.983333333
61,9,24
62,9,24.016666667
63,9,24.033333333
64,9,24.05
65,9,24.066666667
66,9,24.083333333
67,9,24.1
68,9,24.116666667
69,9,24.133333333
70,9,24.15
71,9,24.166666667
72,9,24.183333333
73,9,24.2
74,9,24.216666667
75,9,24.233333333
76,9,24.25
77,9,24.266666667
78,9,24.283333333
79,9,24.3
80,9,24.316666667
81,9,24.333333333
82,9,24.35
83,9,24.366666667
84,9,24.383333333
85,9,24.4
86,9,24.416666667
87,9,24.433333333
88,9,24.45
89,9,24.466666667
90,9,24.483333333
91,9,24.5
92,9,24.516666667
93,9,24.533333333
94,9,24.55
95,9,24.566666667
96,9,24.583333333
97,9,24.6
98,9,24.616666667
99,9,24.633333333
100,9,24.65
101,9,24.666666667
102,9,24.683333333
103,9,24.7
104,9,24.716666667
105,9,24.733333333
106,9,24.75
107,9,24.766666667
108,9,24.783333333
109,9,24.8
110,9,24.816666667
111,9,24.833333333
112,9,24.85
113,9,24.866666667
114,9,24.883333333
115,9,24.9
116,9,24.916666667
117,9,24.933333333
118,9,24.95
119,9,24.966666667
120,9,24.983333333
1,10,25
2,10,25.016666667
3,10,25.033333333
4,10,25.05
5,10,25.066666667
6,10,25.083333333
7,10,25.1
8,10,25.116666667
9,10,25.133333333
10,10,25.15
11,10,25.166666667
12,10,25.183333333
13,10,25.2
14,10,25.216666667
15,10,25.233333333
16,10,25.25
17,10,25.266666667
18,10,25.283333333
19,10,25.3
20,10,25.316666667
21,10,25.333333333
22,10,25.35
23,10,25.366666667
24,10,25.383333333
25,10,25.4
26,10,25.416666667
27,10,25.433333333
28,10,25.45
29,10,25.466666667
30,10,25.483333333
31,10,25.5
32,10,25.516666667
33,10,25.533333333
34,10,25.55
35,10,25.566666667
36,10,25.583333333
37,10,25.6
38,10,25.616666667
39,10,25.633333333
40,10,25.65
41,10,25.666666667
42,10,25.683333333
43,10,25.7
44,10,25.716666667
45,10,25.733333333
46,10,25.75
47,10,25.766666667
48,10,25.783333333
49,10,25.8
50,10,25.816666667
51,10,25.833333333
52,10,25.85
53,10,25.866666667
54,10,25.883333333
55,10,25.9
56,10,25.916666667
57,10,25.933333333
58,10,25.95
59,10,25.966666667
60,10,25.983333333
61,10,26
62,10,26.016666667
63,10,26.033333333
64,10,26.05
65,10,26.066666667
66,10,26.083333333
67,10,26.1
68,10,26.116666667
69,10,26.133333333
70,10,26.15
71,10,26.166666667
72,10,26.183333333
73,10,26.2
74,10,26.216666667
75,10,26.233333333
76,10,26.25
77,10,26.266666667
78,10,26.283333333
79,10,26.3
80,10,26.316666667
81,10,26.333333333
82,10,26.35
83,10,26.366666667
84,10,26.383333333
85,10,26.4
86,10,26.416666667
87,10,26.433333333
88,10,26.45
89,10,26.466666667
90,10,26.483333333
91,10,26.5
92,10,26.516666667
93,10,26.533333333
94,10,26.55
95,10,26.566666667
96,10,26.583333333
97,10,26.6
98,10,26.616666667
99,10,26.633333333
100,10,26.65
101,10,26.666666667
102,10,26.683333333
103,10,26.7
104,10,26.716666667
105,10,26.733333333
106,10,26.75
107,10,26.766666667
108,10,26.783333333
109,10,26.8
110,10,26.816666667
111,10,26.833333333
112,10,26.85
113,10,26.866666667
114,10,26.883333333
115,10,26.9
116,10,26.916666667
117,10,26.933333333
118,10,26.95
119,10,26.966666667
120,10,26.983333333
1,11,27
2,11,27.016666667
3,11,27.033333333
4,11,27.05
5,11,27.066666667
6,11,27.083333333
7,11,27.1
8,11,27.116666667
9,11,27.133333333
10,11,27.15
11,11,27.166666667
12,11,27.183333333
13,11,27.2
14,11,27.216666667
15,11,27.233333333
16,11,27.25
17,11,27.266666667
18,11,27.283333333
19,11,27.3
20,11,27.316666667
21,11,27.333333333
22,11,27.35
23,11,27.366666667
24,11,27.383333333
25,11,27.4
26,11,27.416666667
27,11,27.433333333
28,11,27.45
29,11,27.466666667
30,11,27.483333333
31,11,27.5
32,11,27.516666667
33,11,27.533333333
34,11,27.55
35,11,27.566666667
36,11,27.583333333
37,11,27.6
38,11,27.616666667
39,11,27.633333333
40,11,27.65
41,11,27.666666667
42,11,27.683333333
43,11,27.7
44,11,27.716666667
45,11,27.733333333
46,11,27.75
47,11,27.766666667
48,11,27.783333333
49,11,27.8
50,11,27.816666667
51,11,27.833333333
52,11,27.85
53,11,27.866666667
54,11,27.883333333
55,11,27.9
56,11,27.916666667
57,11,27.933333333
58,11,27.95
59,11,27.966666667
60,11,27.983333333
61,11,28
62,11,28.016666667
63,11,28.033333333
64,11,28.05
65,11,28.066666667
66,11,28.083333333
